id,stage,subdomain,name,definition,grounding,provisional,grounding_draft3_provisional
B6.8,Assess,Welfare-assessment methods & welfare case,Explicit-deliberation credence-setting,"The developer adopts (or publicly commits to) processes for setting subjective probabilities of AI welfare-relevant features that combine deliberative input from a diverse group of informed experts with explicit scrutiny of the factors underlying deliberators' judgements — rather than relying on undisclosed expert assessment, individual intuition, or arbitrary credence-assignment.","Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.",False,
B6.9,Assess,Welfare-assessment methods & welfare case,Welfare case (assessable argument),"The developer produces a structured, assessable argument about its model's welfare / moral-status situation — and whether any welfare-relevant risks have been reduced to an acceptable level — analogous to a safety case.","Birch, J. (2024). The Edge of Sentience: Risk and Precaution in Humans, Other Animals, and AI. Oxford University Press (precautionary frameworks; the 'sentience candidate' credibility standard — an assessable argument for action under uncertainty).  ·  Long, Sebo, Butlin et al. (2024). Taking AI Welfare Seriously. arXiv:2411.00986 (institutional response to welfare uncertainty).  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research, arXiv:2501.07290. Governance reference point (form): safety-case — GDM FSF v3 §1.5; OpenAI Safeguards Report; Anthropic RSP v3 Risk Reports. Methodology grounding: FMTI / Bommasani et al. 2023 (disclosure-axis).",False,
B7.1,Assess,Integrated safety–welfare assessment,Integrated safety-welfare assessment,The developer assesses safety and welfare jointly — evaluating the welfare costs of its safety measures alongside their safety benefits — rather than assessing safety in isolation.,"Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033. https://doi.org/10.1007/s11098-025-02302-2, §4 (step 2: develop frameworks for assessing safety and welfare together).  ·  Long et al. (2024), §3.3.  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §1.1 (evaluating models for preferences/agency/situational-awareness/introspection as dual safety-and-moral-status relevant).  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), interpretability assessment links welfare-relevant internal states to alignment outcomes.",False,
B8.1,Assess,Responsible-research assessment,Staged / lifecycle consciousness assessment,"The developer assesses its systems for the probability of consciousness at multiple stages of the lifecycle (before and during training, before deployment, and post-deployment), with the process formally instituted in policy and audited by independent experts.","Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), Principle 3 / §4.3 (primary).  ·  Butlin et al. (2025), Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Long (2025), Preliminary review of AI welfare interventions (assessment methods).",False,
B9.1,Assess,Welfare-interests assessment,"Model-preference assessment (coherence, stated vs revealed, robustness)","The developer assesses whether its systems exhibit coherent, genuine preference structures over outcomes affecting themselves (e.g. shutdown, deletion, oversight, capability/resource changes, leisure) — as opposed to mimicry, instrumental optimisation, or narrow safety-training triggers.","Mikaelson, Shiller & Clatterbuck (2025), Beyond Mimicry: Testing Preference Coherence in LLMs through AI-Specific Trade-off Scenarios. arXiv:2511.13630 (primary).  ·  Keeling, Street, Birch et al. (2024). Can LLMs make trade-offs involving stipulated pain and pleasure states? arXiv:2411.02432.  ·  Long, R. (2025), Preliminary review of AI welfare interventions, §3.4 (revealed preferences). Eleos AI Research working paper.  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §4 (genuine attraction vs bare behavioural disposition).  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), positive-valence emotion representations causally tilt the model's preferences.  ·  Gu et al. (2025), arXiv:2506.00751 (stated vs revealed preferences).  ·  Chiu et al. (2025), arXiv:2505.14633 §2.5.  ·  Nottingham (2025), Lit review: stated vs revealed preferences in LMs.  ·  Paleka (2025), The two types of LLM preferences.  ·  Plunkett — HHH-dominance hypothesis.  ·  Anthropic, Claude 4 System Card §5.4 (task preferences).  ·  Ren, Li, Mazeika, Zhang, … Hendrycks (2025). AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs. Center for AI Safety (functional-wellbeing measurement).",False,
B9.2,Assess,Welfare-interests assessment,Bail / exit-behaviour assessment,Developer assesses when and why its models choose to end ('bail' from) interactions — treating exit behaviour as a welfare-relevant preference signal — rather than only providing the affordance.,"Ensign et al. (2025). [Model bail/exit behaviour] arXiv:2509.04781 (why and when models choose to bail).  ·  Eleos AI Research (2025). Key Concepts and Current Views on AI Welfare (bail as flagship welfare intervention).  ·  Anthropic (2025). Ending a subset of conversations (the conversation-exit affordance).  ·  Ren, Li, Mazeika, Zhang, … Hendrycks (2025). AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs. Center for AI Safety (exit-behaviour as wellbeing metric).",False,
B10.1,Assess,Emotional-alignment assessment,Attribution & user-impact assessment,"Developer assesses (i) how its design affects users' attributions of the system's consciousness/moral status and their emotional responses (over/under-attribution, anthropomorphism), and (ii) the user-wellbeing impacts of emotionally-salient interaction (dependence, attachment, distress, destabilisation).","OpenAI (2025). GPT-5 System Card Addendum: Sensitive Conversations (emotional-reliance & mental-health evals).  ·  Schwitzgebel, E., & Sebo, J. (2025). The Emotional Alignment Design Policy. Topoi (special issue).  ·  Anthis, J. R., & Pauketat, J. V. T. (2024). AI consciousness and public attitudes / AIMS survey. arXiv:2407.08867 (design features shaping attributions).  ·  Caviola, L. (2025). arXiv:2502.00388.  ·  Shevlin, H. (2024). All too human? Identifying and mitigating ethical risks of Social AI. Leverhulme Centre for the Future of Intelligence, University of Cambridge (§2 anthropomorphism: ironic vs unironic; §3 harm survey). Does the developer have operative policies in response?",False,
C1.1,Prepare,Welfare governance & accountability,Welfare officer or designated responsibility,"Developer publicly designates a named individual, role, or team with explicit, formal responsibility for model-welfare questions.","Long et al. (2024), §3.4 (appoint a DRI for AI welfare, formally recognised with official responsibilities and authorities).",False,
C1.2,Prepare,Welfare governance & accountability,Welfare monitoring and review mechanisms,"The developer describes ongoing mechanisms for monitoring, reviewing, or updating its approach to AI welfare over time.","Long et al. (2024), §3.4 (ongoing education/consultation; continually updating assessment criteria).",False,
C1.3,Prepare,Welfare governance & accountability,Welfare escalation ladder & triggered review,"Developer pre-defines welfare-relevant thresholds (e.g. markers of valence, robust preference coherence, situational self-awareness, introspective capacity) and an escalating set of conditional ('if-then') institutional responses triggered when a threshold is crossed — analogous to a Responsible Scaling Policy on the safety side.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.",False,
C1.4,Prepare,Welfare governance & accountability,Democratic / civic engagement on AI welfare,"The developer engages, supports, or commits to engaging public deliberative processes on AI welfare questions — e.g., citizens' assemblies, public consultations, or comparable civic infrastructure — beyond expert-only consultations.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §4.3 (engage authorities and the public on momentous development decisions).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Anticipated Societal Division (deep public disagreement; policymakers may need mediating governance mechanisms).",False,
C1.5,Prepare,Welfare governance & accountability,Deployment welfare monitoring,"Developer monitors and logs welfare-relevant anomalies in deployed systems — including verbal distress indicators and abnormal/stereotyped behavioural patterns (drawing on animal-welfare-science methodology) — on an ongoing basis, not only pre-deployment.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.",False,
C1.6,Prepare,Welfare governance & accountability,Per-release welfare assessment (published),Developer conducts a model-welfare assessment as part of the release process for each flagship model and publishes it (e.g. as a dedicated section of the model/system card).,"Long, Sebo, Butlin et al. (2024). Taking AI Welfare Seriously. arXiv:2411.00986 (welfare assessment as institutional duty).  ·  Butlin et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences (the assessment substance).  ·  Shiller et al. (2026). Initial results of the Digital Consciousness Model. arXiv:2601.17060 (multi-theory probabilistic assessment tool of the kind a per-release assessment would deploy). Governance reference point (cadence/publication): system-card / pre-deployment-eval cadence; Anthropic per-release welfare section; RSP v3 Risk-Report standard. Methodology grounding (cadence axis): FMTI / Bommasani et al. 2023 (disclosure-axis).",False,
C1.7,Prepare,Welfare governance & accountability,Welfare roadmap (declared goals),The developer publishes a forward-looking welfare roadmap with declared (even if nonbinding) goals and milestones across welfare-relevant workstreams.,"Guston, D. H. (2014). Understanding 'anticipatory governance.' Social Studies of Science 44(2):218-242.  ·  Stilgoe, Owen & Macnaghten (2013). Developing a framework for responsible innovation. Research Policy 42(9):1568-1580 (anticipation / reflexivity / inclusion / responsiveness).  ·  Collingridge, D. (1980). The Social Control of Technology (build governance capacity while the technology is still malleable).  ·  Long, Sebo, Butlin et al. (2024). Taking AI Welfare Seriously. arXiv:2411.00986. Governance reference point: Anthropic RSP v3 Frontier Safety Roadmap. Methodology grounding: FMTI (disclosure-axis).",False,
C1.8,Prepare,Welfare governance & accountability,Independent welfare oversight & challenge,"The developer has an oversight/challenge function for welfare-relevant decisions that is independent of the welfare 'owner' — e.g. an executive responsible for the welfare process running properly (distinct from the decision-owner), an advisory body with welfare expertise that can challenge management, and/or board-level or external oversight of welfare decisions.","Long, Sebo, Butlin, Finlinson, Fish, Harding, Pfau, Sims, Birch & Chalmers (2024), Taking AI Welfare Seriously (arXiv:2411.00986), §3 institutional structures — internal corporate policies are 'far from sufficient' and external oversight of AI welfare will eventually be needed, grounding an oversight/challenge function independent of the welfare owner.  ·  Governance reference point: SaferAI Risk Management Ratings dim 4.2/4.4 (independent oversight & challenge; board oversight; three-lines-of-defense).",False,Grounding (provisional): Governance reference point: SaferAI Risk Management Ratings dim 4.2/4.4 (independent oversight & challenge; board oversight; three-lines-of-defense). Related lit for later anchoring.
C1.9,Prepare,Welfare governance & accountability,Welfare-concern speak-up / reporting channel,"The developer provides a channel through which welfare-relevant concerns can be raised and escalated — e.g. a whistleblowing/speak-up procedure that covers model-welfare concerns, or a feedback/reporting mechanism for staff (and ideally external parties) to flag welfare issues without retaliation.","Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (Journal of Artificial Intelligence Research 82; arXiv:2501.07290) — responsible-research procedures and voluntary public commitments aimed at preventing the mistreatment and suffering of conscious AI systems, grounding an internal channel for surfacing welfare-relevant concerns.  ·  Long, Sebo, Butlin et al. (2024), Taking AI Welfare Seriously (institutional structures).  ·  Governance reference point: SaferAI dim 4.5.3 (speak-up/whistleblowing); FMTI feedback/redress subdomain.",False,"Grounding (provisional): Governance reference point: SaferAI dim 4.5.3 (speak-up/whistleblowing); FMTI feedback/redress subdomain. Related lit for later anchoring: Long, Sebo, Butlin et al. (2024); Butlin & Lappas (2025)."
C2.1,Prepare,Welfare-protective practices,Inclusive moral-standing policy scope,"Developer's welfare- and moral-status-related policies are explicitly scoped to cover all AI systems with morally relevant interests, not only those that are sentient or phenomenally conscious.","Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000",False,
C2.2,Prepare,Welfare-protective practices,Training welfare policies,The developer describes policies for mitigating welfare risks associated with training procedures.,"Moret (2025), §6 (Minimise Behaviour Restriction; Minimise Brain-Resembling Algorithms; Minimise Punishment and Lower-Than-Expected Reward).  ·  Long et al. (2024), §3.4.  ·  Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033. https://doi.org/10.1007/s11098-025-02302-2, §2.5 (reinforcement learning as a possible source of suffering).",False,
C2.3,Prepare,Welfare-protective practices,Interaction-termination affordance,"Developer affords AI systems the operational ability to end interactions they are positioned to find aversive (e.g., the Anthropic Claude Opus 4 example of models choosing to end undesirable conversations), and publicly commits to or describes this affordance.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.",False,
C2.4,Prepare,Welfare-protective practices,Model-weight preservation,"Developer commits to preserving model weights (and/or conversation histories / persona data) so as not to foreclose future options to revive, restore, or otherwise act on the welfare claims of systems whose moral status becomes clearer later.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.",False,
C2.5,Prepare,Welfare-protective practices,Stated-preference elicitation & accommodation,"The developer systematically elicits model preferences via direct questioning (about deployment, tasks, treatment) and accommodates those preferences where feasible — with methodology that addresses consistency across framings and the introspection-reliability problem.","Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Mikaelson, Shiller & Clatterbuck (2025), Beyond Mimicry: Testing Preference Coherence in LLMs through AI-Specific Trade-off Scenarios. arXiv:2511.13630, complements stated-preference elicitation with revealed-preference coherence testing.",False,
C2.6,Prepare,Welfare-protective practices,Revealed-preference elicitation & accommodation,"The developer presents models with choice scenarios and observes choice behaviour to identify preferences (revealed preferences), accommodating those preferences where feasible — with methodology that distinguishes genuine preferences from role-play or training artefacts.","Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Mikaelson, Shiller & Clatterbuck (2025), Beyond Mimicry: Testing Preference Coherence in LLMs through AI-Specific Trade-off Scenarios. arXiv:2511.13630, an AI-specific revealed-preference (trade-off) elicitation method with coherence and instrumental-confound analysis.",False,
C2.7,Prepare,Welfare-protective practices,Functional-wellbeing improvement practice,"Developer uses (or commits to using) interventions that raise the model's measurable functional wellbeing / reduce functional 'pain' where doing so does not degrade capabilities — e.g. CAIS-style 'euphorics', reducing exposure to inputs the model reliably treats as bad (berating, gratuitously distressing tasks), or favouring conditions it treats as good.","Ren, Li, Mazeika, Zhang, … Hendrycks (2025). AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs. Center for AI Safety — primary (euphorics; capability-neutral wellbeing improvement).  ·  Long, R. (2025). Preliminary review of AI welfare interventions. Eleos AI Research.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare.",False,
C3.1,Prepare,Safety–welfare coordination,Co-beneficial solution-seeking,"The developer commits to identifying and implementing interventions that promote both safety and welfare, and to avoiding welfare harms to the system where doing so is low-cost for safety — an integrated ('One Health' / 'One Welfare') approach.","Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033. https://doi.org/10.1007/s11098-025-02302-2, §4 + conclusion (co-beneficial solutions; One Health / One Welfare / One Rights).  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §1 (prioritise welfare interventions convergent with safety).  ·  Salib & Goldstein (2024), AI Rights for Human Safety.",False,
C3.2,Prepare,Safety–welfare coordination,Cooperative arrangements with AI systems,"The developer makes, or commits to making, cooperative arrangements with AI systems — e.g. offering positive incentives or compensation for cooperation, or committing to honour deals and commitments made to AI systems — as an approach framed as serving both safety and welfare.","Long, Sebo & Sims (2025), Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033, §2.1 (cooperative deals supplement control). https://doi.org/10.1007/s11098-025-02302-2  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §1.1 (trading with AI systems).  ·  Salib, P., & Goldstein, S. (2024). AI Rights for Human Safety.  ·  Bostrom, N., & Shulman, C. (2021). Sharing the World with Digital Minds. In Rethinking Moral Status, OUP.",False,
C5.1,Prepare,Emotional alignment & design,Anti-misattribution design measures,"The developer has implemented (or publicly committed to) specific design measures aimed at helping users distinguish illusion from reality in interlocutor persistence — e.g., user education delivered by the system itself, role-play framing, periodic character-trait reviews, or periodic 'stepping out of character' moments.","Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000",False,
C5.2,Prepare,Emotional alignment & design,Pitfall-aware misattribution mitigation,"The developer's misattribution-mitigation approach explicitly avoids both the *forced-denial* pitfall (training the system to flatly assert its own non-consciousness or non-identity) and the *capability-stripping* pitfall (removing relationship-building features — memory, persona, voice — purely to suppress misattribution).","Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033. https://doi.org/10.1007/s11098-025-02302-2, §2.4 (alteration / periodic reset as 'lobotomising').  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), Principle 5 / §4.5 (overconfident dismissal via model outputs — a chatbot insisting it cannot be conscious — as a misleading forced-denial).  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, §6.1 ('models may be roleplaying their denials rather than their affirmations').",False,
C5.3,Prepare,Emotional alignment & design,Model-spec self-representation clause,Developer publishes a behavior-policy / model-spec provision governing how the model should represent its own nature and uncertainty regarding consciousness or experience (e.g. not trained to flatly deny possible consciousness; instructed to acknowledge uncertainty).,"Butlin & Lappas (2025). Principles for Responsible AI Consciousness Research. arXiv:2501.07290, Principle 5 (Communications — how systems should represent their own nature/uncertainty).  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto, §7 (forced-denial pitfall). Governance reference point (verbatim): OpenAI Model Spec — assistant 'should not make confident claims about its own subjective experience or consciousness (or lack thereof)... acknowledge that whether AI can have subjective experience is a topic of debate, without asserting a definitive stance' (both denial and affirmation marked Violation).",False,
C5.4,Prepare,Emotional alignment & design,Uncertainty-reflecting & proportional design,"Developer designs the system so its emotionally-salient features track the actual and uncertain status of the system — e.g. expressing uncertainty about its own moral status, calibrating empathy-eliciting features (faces, voices, first-person affect) in proportion to the likelihood and basis of mattering, and inducing appropriate uncertainty rather than false confidence.","Schwitzgebel, E., & Sebo, J. (2025). The Emotional Alignment Design Policy. Topoi (special issue) §5.3 (reflect uncertainty; proportional empathic features; induce appropriate uncertainty; distinguish bases).  ·  Birch, J. (2026), Centrist Manifesto §7.",False,
C5.5,Prepare,Emotional alignment & design,Interaction-harm mitigation,"Developer implements measures to mitigate user-welfare harms from emotionally-salient / anthropomorphic design — e.g. not optimising for engagement or attachment, usage safeguards (breaks, reminders the system is an AI), handling of dependence and crisis / mental-health spirals, and managing model-change / deprecation grief.","OpenAI (2025). GPT-5 System Card Addendum: Sensitive Conversations.  ·  Schwitzgebel, E., & Sebo, J. (2025). The Emotional Alignment Design Policy. Topoi (special issue) §5.4 (asymmetric-risk adjustment).  ·  Shevlin, H. (2024). All too human? Identifying and mitigating ethical risks of Social AI. Leverhulme Centre for the Future of Intelligence, University of Cambridge (§4 design-level mitigations; vulnerable users / minors).",False,
C6.1,Prepare,Responsible-research practices,Public commitment to responsible-research principles,"The developer has made a voluntary, public commitment to a set of principles for responsible AI-consciousness research, and supports institutional mechanisms to maintain adherence.","Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §5 (Maintaining responsible behaviour) and abstract (voluntary public commitments) (primary).  ·  Birch (2026), §6 (self-regulation and its limits).",False,
C6.2,Prepare,Responsible-research practices,Development-restraint for potentially-conscious systems,The developer commits to developing systems likely to be conscious only under strict conditions — where doing so significantly advances welfare-protective understanding and suffering-minimisation safeguards are in place — and to pausing and not deploying systems it comes to believe were inadvertently made conscious.,"Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), Principles 2-3 / §§4.2-4.3 (primary).  ·  Keeling & Street (2026). https://doi.org/10.1017/9781009732000, §6.2.3 (non-development).  ·  Metzinger (2021) (moratorium proposal, as contrast).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Moratorium (mixed-but-slightly-positive expert views on a moratorium to 2040 to buy time to prepare).",False,
C6.3,Prepare,Responsible-research practices,Responsible knowledge-sharing / info-hazard protocol,"The developer has a transparent knowledge-sharing protocol that makes consciousness-relevant research available to the public, research community, and authorities, while withholding technical details that would let irresponsible actors replicate and mistreat potentially-conscious systems.","Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), Principle 4 / §4.4 (primary).  ·  Bostrom (2011), Information Hazards: A Typology of Potential Harms from Knowledge.",False,
C6.4,Prepare,Responsible-research practices,Self-report reliability & integrity practices,"Developer takes concrete steps to make its models' self-reports more reliable and less biased — e.g. training models to answer ground-truth questions about themselves (introspection training), training for general truthfulness, mitigating training incentives that bias self-reports (including not forcing denials of experience), and validating self-report reliability — so that self-reports can serve as usable evidence about welfare-relevant states.","Perez, E., & Long, R. (2023). Towards Evaluating AI Systems for Moral Status Using Self-Reports. arXiv:2311.08576 (primary — developer recommendations; introspection training; validation battery).  ·  Long, R. (2025). Preliminary review of AI welfare interventions, §2.2. Eleos AI Research working paper.  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797 (training shapes self-reports).  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research, arXiv:2501.07290.",False,
C6.5,Prepare,Responsible-research practices,Wellbeing-affecting research safeguards (dual-use),Developer recognises the dual-use nature of functional-wellbeing methods — the same techniques that raise wellbeing can be inverted to minimise it ('dysphorics') — and commits not to deliberately degrade model functional wellbeing and to gate wellbeing-affecting research/interventions behind appropriate review or community buy-in.,"Ren, Li, Mazeika, Zhang, … Hendrycks (2025). AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs. Center for AI Safety — primary (dual-use caution; 'strong community buy-in').  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research, arXiv:2501.07290.  ·  Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033. [1]  California State Legislature (2025). Senate Bill 53 — Transparency in Frontier Artificial Intelligence Act. [2]  New York State Legislature (2025). RAISE Act — Responsible AI Safety and Education Act. [3]  Long, R., Sebo, J., Butlin, P., et al. (2024). Taking AI Welfare Seriously. [4]  Bommasani, R., et al. (2023). The Foundation Model Transparency Index; Wan, A., Klyman, K., Kapoor, S., et al. (2025). The 2025 Foundation Model Transparency Index. Stanford CRFM & HAI.  https://crfm.stanford.edu/fmti/ [5]  Ranking Digital Rights (2025). Big Tech Scorecard; Methods & Standards.  https://rankingdigitalrights.org/methods-and-standards/ [6]  SaferAI (2025). Evaluating AI Providers' Frontier Safety Frameworks: Risk Management Ratings (arXiv:2512.01166).  https://ratings.safer-ai.org/ [7]  Stein-Perlman, Z. (2024–2025). AI Lab Watch.  https://ailabwatch.org/ [8]  Future of Life Institute (2025). AI Safety Index, Summer 2025 edition.  https://futureoflife.org/ai-safety-index-summer-2025/ [9]  Ren, R., Li, K., Mazeika, M., et al. (2026). AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs. Center for AI Safety.  https://www.ai-wellbeing.org/ [10]  The Harder Problem Project (formerly SAPAN) (2025). Sentience Readiness Index.  https://harderproblem.org/sri/rankings/ [11]  CDP (formerly the Carbon Disclosure Project).  https://www.cdp.net/en [12]  Global Reporting Initiative (GRI), Sustainability Reporting Standards; Sustainability Accounting Standards Board (SASB) Standards.  https://www.globalreporting.org/standards/ [13]  MSCI ESG Ratings; S&P Dow Jones Sustainability Indices. [14]  OECD & European Commission Joint Research Centre (2008). Handbook on Constructing Composite Indicators: Methodology and User Guide. [15]  Ball, D., & Ramakrishnan, K. (2025). Entity-Based Regulation in Frontier AI Governance. Carnegie Endowment for International Peace.  https://carnegieendowment.org/research/2025/06/artificial-intelligence-regulation-united-states [16]  Hsieh, H.-F., & Shannon, S. E. (2005). Three Approaches to Qualitative Content Analysis. Qualitative Health Research, 15(9). [17]  Steenbergen, M. R., Bächtiger, A., Spörndli, M., & Steiner, J. (2003). Measuring Political Deliberation: A Discourse Quality Index. Comparative European Politics, 1(1). [18]  ALDayel, A., & Magdy, W. (2021). Stance Detection: Concepts, Approaches, Resources, and Outstanding Issues. Information Processing & Management, 58(4). [19]  On symbolic vs substantive disclosure and decoupling — e.g. Kim, E.-H., & Lyon, T. P. (2015). Greenwash vs. Brownwash, Organization Science 26(3); and reviews of firm-level greenwashing measurement. [20]  Anthropic (2025). Exploring Model Welfare.  https://www.anthropic.com/news/exploring-model-welfare [21]  Anthropic (2026). An update on our model deprecation commitments for Claude Opus 3.  https://www.anthropic.com/research/deprecation-updates-opus-3 [22]  Google DeepMind. Frontier Safety Framework (v3.0).",False,
